program_code,year,placed_pref_uni_devlet_count,placed_pref_uni_vakif_count,placed_pref_uni_kktc_count,placed_pref_uni_yurt_disi_count
209210080,2021,82,74,0,0
207451123,2021,18,55,0,0
101090558,2021,518,43,0,0
200690347,2021,14,19,0,0
101870205,2021,1448,35,0,0
202456331,2021,45,318,0,0
103150017,2021,674,72,6,0
204751862,2021,6,64,0,0
112910010,2021,682,84,1,0
101150862,2021,491,22,0,0
201790264,2021,76,265,2,0
201450082,2021,17,92,0,0
206410606,2021,37,24,0,0
208750165,2021,33,75,0,0
102190030,2021,526,6,0,0
107050218,2021,629,18,0,0
207450876,2021,5,18,0,0
205550439,2021,28,42,0,0
208450316,2021,16,77,0,0
205052476,2021,23,112,0,0
107090077,2021,774,33,0,0
105370313,2021,774,23,1,0
200290135,2021,32,40,0,0
208450307,2021,49,223,0,0
300550568,2021,53,9,111,0
106470496,2021,1024,43,0,0
103050778,2021,829,40,0,0
206850681,2021,143,503,12,0
206050847,2021,40,67,5,0
301390061,2021,93,24,119,0
200290149,2021,72,240,5,0
205052961,2021,33,75,0,0
201050456,2021,219,256,0,0
206850706,2021,12,62,0,0
105951028,2021,727,4,0,0
206050856,2021,25,19,0,0
300590394,2021,11,30,13,0
104370801,2021,1390,31,9,0
206050874,2021,65,171,0,0
200390120,2021,67,65,0,0
205550457,2021,88,100,0,0
204050032,2021,134,152,0,0
201450037,2021,97,482,0,0
109272246,2021,945,12,0,0
208150161,2021,19,43,0,0
102370173,2021,1130,25,0,0
108750544,2021,980,31,0,0
109850725,2021,706,0,3,0
204751871,2021,16,175,1,0
204590391,2021,0,4,0,0
204050014,2021,98,71,0,0
108251017,2021,714,35,0,0
300150518,2021,6,0,25,0
203550384,2021,15,19,0,0
204551194,2021,30,91,0,0
204590389,2021,0,10,0,0
104351443,2021,1027,24,0,0
204590390,2021,65,464,7,0
206410608,2021,139,182,14,0
100890075,2021,565,0,3,0
104790050,2021,1091,6,6,0
104390105,2021,492,12,0,0
102690216,2021,503,13,0,0
203150316,2021,44,92,0,0
100770987,2021,583,74,2,0
109590015,2021,663,51,1,0
201150076,2021,70,134,3,0
203050829,2021,45,76,0,0
208750166,2021,27,324,0,0
201650026,2021,27,19,1,0
102350381,2021,1101,1,0,0
102790186,2021,776,39,0,0
203590177,2021,124,178,0,0
101850264,2021,990,23,6,0
300250508,2021,0,0,8,0
110390142,2021,1284,35,3,0
106490148,2021,1093,8,0,0
200651857,2021,25,23,0,0
202751595,2021,33,73,0,0
300450154,2021,11,6,19,0
106650578,2021,568,30,0,0
202752751,2021,3,60,0,0
201790263,2021,21,52,0,0
101690103,2021,743,37,0,0
201050447,2021,28,40,0,0
101290070,2021,900,25,0,0
202550703,2021,52,361,0,0
204150904,2021,110,272,0,0
101290073,2021,698,5,0,0
106450598,2021,1054,13,0,0
103350775,2021,994,20,0,0
204551776,2021,8,46,0,0
201650044,2021,23,29,0,0
200651875,2021,56,259,0,0
204150755,2021,22,63,0,0
108190131,2021,510,21,0,0
200751256,2021,38,349,0,0
200351709,2021,27,22,0,0
201150067,2021,42,35,0,0
203051121,2021,65,507,0,0
106150583,2021,1150,21,0,0
109870235,2021,924,1,0,0
103650012,2021,748,4,0,0
109490179,2021,669,44,1,0
201650017,2021,131,281,9,0
109970207,2021,951,84,6,0
300850089,2021,9,14,13,0
208910011,2021,51,29,0,0
106870265,2021,751,13,0,0
106170287,2021,1467,47,5,0
110670134,2021,467,22,0,0
103290212,2021,713,14,0,0
202454556,2021,39,228,0,0
203150325,2021,78,530,5,0
300250474,2021,0,0,9,0
205850199,2021,7,73,0,0
105290034,2021,1203,2,2,0
101050775,2021,3564,142,8,0
101451503,2021,583,11,0,0
300250492,2021,8,34,49,0
200651848,2021,5,10,0,0
206250457,2021,24,79,0,0
107390118,2021,766,37,1,0
202453567,2021,14,77,0,0
103550967,2021,587,15,0,0
300850105,2021,0,0,3,0
102890079,2021,1114,33,0,0
202353117,2021,67,396,14,0
205850515,2021,108,216,3,0
300150493,2021,3,3,17,0
202550696,2021,19,36,0,0
200790509,2021,50,245,6,0
200751556,2021,22,69,0,0
201650026,2020,31,19,0,0
102890079,2020,1326,33,0,0
109490179,2020,814,31,0,0
110670119,2020,822,13,3,0
101451503,2020,701,2,0,0
104251232,2020,1063,17,0,0
200690347,2020,0,0,0,0
110910107,2020,31,34,3,0
110910105,2020,13,3,2,0
100751363,2020,494,29,0,0
200290135,2020,40,29,0,0
102090060,2020,538,19,8,0
102790186,2020,820,46,6,0
200651875,2020,30,255,0,0
201150076,2020,144,168,0,0
201150067,2020,14,20,0,0
205850199,2020,19,86,0,0
103670149,2020,943,29,0,0
105651058,2020,560,223,0,0
103150017,2020,958,78,10,0
106490148,2020,1040,5,0,0
103550967,2020,757,1,0,0
107050254,2020,773,25,0,0
201050447,2020,60,33,0,0
205550457,2020,54,75,0,0
207450867,2020,0,0,0,0
207450549,2020,70,354,0,0
201450037,2020,60,437,0,0
201450082,2020,27,102,0,0
201450028,2020,33,72,0,0
202353117,2020,38,276,0,0
202453567,2020,3,124,0,0
202454556,2020,39,182,0,0
200751256,2020,124,331,3,0
202550703,2020,41,443,0,0
201751235,2020,21,50,0,0
202752751,2020,35,67,0,0
202751595,2020,36,116,0,0
208750166,2020,112,532,8,0
203050829,2020,43,87,0,0
203150316,2020,30,78,0,0
204590390,2020,78,559,4,0
204551194,2020,26,74,0,0
204590391,2020,3,2,0,0
204751871,2020,69,309,2,0
208150161,2020,19,33,0,0
206850706,2020,6,80,0,0
205052961,2020,11,46,0,0
205052476,2020,27,130,0,0
